metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
13 13 346.0 6.50 48.1 26.1
13 13 395.5 6.60 48.0 25.6
13 13 444.9 6.70 48.0 25.1
13 13 494.3 6.80 48.0 24.7
13 13 543.8 6.85 48.0 24.2
13 13 593.2 6.90 47.5 23.7
13 13 642.6 7.00 47.0 23.2
13 13 692.1 7.05 47.0 22.8
13 13 790.9 7.20 46.0 21.9
13 13 889.8 7.30 45.0 20.9
13 13 988.7 7.40 44.0 20.0
13 13 1087.5 7.50 43.0 19.1
13 13 1186.4 7.60 41.0 18.3
13 13 1285.3 7.70 37.9 17.6
13 13 1384.1 7.70 33.9 16.9
13 13 1483.0 7.65 29.0 16.4
13 13 1730.2 7.00 25.0 14.9
13 13 1977.3 6.20 20.0 13.0
13 13 2224.5 5.40 12.0 11.5
13 13 2471.7 4.70 359.0 9.9
13 13 2718.8 4.54 346.0 8.5
14 14 9.9 5.39 52.5 31.5
14 14 24.7 5.65 52.0 31.2
14 14 49.4 5.99 52.0 30.7
14 14 74.2 6.20 52.0 30.3
14 14 98.9 6.35 52.0 30.0
14 14 148.3 6.60 51.0 29.3
14 14 197.7 6.71 51.0 28.8
14 14 247.2 6.90 50.4 28.2
14 14 296.6 6.95 50.0 27.7
14 14 346.0 7.01 49.4 27.2
14 14 395.5 7.10 49.0 26.8
14 14 444.9 7.11 48.4 26.3
14 14 494.3 7.20 48.0 25.8
14 14 543.8 7.20 47.4 25.3
14 14 593.2 7.21 47.0 24.8
14 14 642.6 7.30 46.0 24.4
14 14 692.1 7.30 46.0 23.9
14 14 790.9 7.31 45.0 22.9
14 14 889.8 7.40 43.0 22.0
14 14 988.7 7.40 42.0 21.1
14 14 1087.5 7.40 40.4 20.1
14 14 1186.4 7.40 39.0 19.2
14 14 1285.3 7.44 38.0 18.3
14 14 1384.1 7.45 36.0 17.4
14 14 1483.0 7.40 34.0 16.5
14 14 1730.2 7.40 27.5 14.7
14 14 1977.3 6.75 20.0 13.4
14 14 2224.5 5.90 13.4 11.8
14 14 2471.7 5.10 4.0 10.2
14 14 2718.8 4.80 351.0 8.7
15 15 9.9 5.10 51.0 32.2
15 15 24.7 5.39 51.0 32.0
15 15 49.4 5.60 51.0 31.6
15 15 74.2 5.80 51.0 31.2
15 15 98.9 6.00 51.0 30.9
15 15 148.3 6.20 50.0 30.3
15 15 197.7 6.35 50.0 29.8
15 15 247.2 6.50 49.0 29.2
15 15 296.6 6.60 49.0 28.7
15 15 346.0 6.70 48.0 28.2
15 15 395.5 6.75 48.0 27.7
15 15 444.9 6.80 47.0 27.2
15 15 494.3 6.90 47.0 26.8
15 15 543.8 6.95 46.0 26.3
15 15 593.2 7.00 46.0 25.8
15 15 642.6 7.05 45.0 25.3
15 15 692.1 7.10 45.0 24.8
15 15 790.9 7.20 43.4 23.9
15 15 889.8 7.30 42.0 22.9
15 15 988.7 7.40 41.0 22.0
15 15 1087.5 7.50 40.0 21.0
15 15 1186.4 7.55 39.0 20.1
15 15 1285.3 7.60 37.9 19.1
15 15 1384.1 7.70 36.0 18.2
15 15 1483.0 7.80 35.0 17.3
15 15 1730.2 7.90 31.9 14.9
15 15 1977.3 7.90 26.4 12.9
15 15 2224.5 7.20 20.0 11.4
15 15 2471.7 5.60 9.9 10.3
15 15 2718.8 4.80 358.0 8.8
