"Fly","Distance","Acceleration","A_insect","Max_speed","Flight_time","Longest_flight","N_flights","Last_flight_end","F_counts","R_counts","dom_dir","Residual_mov","Behav_rep","Behav_add","DCh_dir_skip","DCh_time_shift","DCh_rec_miss","DCh_rec_add","DCh_unfixed","peaks1N","peaks1T","peaks2N","peaks2T","Percent_flying","Mean_speed","Total_dist","FR_ratio","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"1002mill1",69.9789816,0.00612683290342189,0.115146489877012,1.08956355784527,147.118008718998,51.292175352,8,13909.428886221,54,3011,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
3.0      0.385455
16.0     0.477723
41.0     0.512066
109.0    0.274488
179.0    0.548846
185.0    0.422012
196.0    0.522020
202.0    0.079328
Name: Residual_mov, dtype: float64>",2.41677204064419,0.00945327494019538,1,0,0,0,3,0,0,18,2,1.02165283832638,0.475665638825107,2957,55.7592592592593,"21 Autumn","W","A",1001,"fma",18.1,18.6,1325
"1002mill2",550.39529316,0.00323473660507196,0.0852053395375424,0.832084582417061,1298.419530145,80.0717003499994,41,13980.543924248,248,16573,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      0.048891
23.0     0.507221
51.0     0.556897
78.0     0.498713
105.0    0.462412
136.0    0.522350
163.0    0.443904
189.0    0.495869
220.0    0.072916
223.0    0.139979
252.0    0.112697
279.0    0.474882
309.0    0.445956
337.0    0.498537
341.0    0.184692
347.0    0.157082
371.0    0.681802
404.0    0.489563
411.0    0.303754
427.0    0.433426
454.0    0.492748
480.0    0.556870
500.0    0.398779
503.0    0.141009
509.0    0.177915
533.0    0.536718
546.0    0.527061
572.0    0.411339
602.0    0.517747
608.0    0.230776
634.0    0.560596
668.0    0.484522
692.0    0.505703
722.0    0.414172
729.0    0.338227
753.0    0.430619
779.0    0.523508
803.0    0.528367
828.0    0.557388
855.0    0.397357
882.0    0.422134
Name: Residual_mov, dtype: float64>",1.13191007686768,0.000967207197430175,1,2,1,0,9,0,0,43,49,9.01680229267361,0.423896345042296,16325,66.8266129032258,"21 Autumn","W","A",1001,"fta",18.1,18.6,1330
"1002mill3",949.98234668,0.000229625825295355,0.288758276609777,1.76751686179155,1129.78811231,1019.307820998,5,2666.985179587,1,27295,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     0.136804
3.0     0.178896
11.0    0.185345
21.0    0.174374
33.0    0.323697
Name: Residual_mov, dtype: float64>",1.35894253285523,0.00223725425229393,3,0,0,0,1,5,10,394,776,7.84575077993055,0.840850011014576,27294,27295,"21 Autumn","W","A",1001,"fta",18.1,18.6,1312
"1002mill4",115.5713484,0.00240558092110213,0.085084783995798,0.799814569614646,271.971297084,102.784615954,8,14276.215010762,3954,11,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      0.097553
16.0     0.351562
80.0     0.518430
97.0     0.599674
116.0    0.483220
133.0    0.571353
160.0    0.548442
191.0    0.527261
Name: Residual_mov, dtype: float64>",1.16867870383919,0.000106140908742121,0,0,0,0,6,0,0,11,9,1.88868956308333,0.424939505157801,3943,359.454545454545,"21 Autumn","W","A",1001,"fma",18.1,18.6,1336
"1003mill1",290.97826036,0.000751437900412924,0.076287433218666,1.01077932324241,762.264390454998,155.063932555,16,2327.502783012,1,9450,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.006087
7.0      0.298729
10.0     0.255542
13.0     0.245988
16.0     0.120519
30.0     0.121120
53.0     0.318336
56.0     0.214013
59.0     0.030856
74.0     0.199454
75.0     0.157554
86.0     0.119743
92.0     0.115092
96.0     0.128370
99.0     0.266662
101.0    0.149079
Name: Residual_mov, dtype: float64>",1.50484519064115,0.00437742505609588,5,0,0,0,1,0,0,34,4,5.29350271149304,0.381728785974528,9449,9450,"21 Autumn","W","A",1001,"fma",19.3,18.9,1337
"1003mill2",1324.26386948,0.000571767977968732,0.404742255708621,2.19210892031934,1312.437472373,286.091225305,15,7701.506007998,58,37845,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.400132
3.0      0.027755
25.0     0.523834
54.0     0.703600
57.0     0.248461
67.0     0.177739
76.0     0.138023
109.0    0.752155
140.0    0.765639
169.0    0.679354
196.0    0.709005
223.0    0.724768
244.0    0.355769
253.0    0.410746
258.0    0.132035
Name: Residual_mov, dtype: float64>",1.0631167878641,0.000549339987088778,44,0,1,0,5,3171,6338,424,840,9.11414911370139,1.00901101755775,37787,652.5,"21 Autumn","W","A",1001,"ftl",19.3,18.9,1319
"1003mill3",868.1988298,0.000689043030640808,0.431983013563646,2.20315092309288,1008.379902285,265.882742915,17,14001.545429924,56,27036,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.210409
6.0      0.584806
168.0    0.257870
200.0    0.044551
216.0    0.685003
236.0    0.708497
266.0    0.445630
280.0    0.300635
284.0    0.286461
307.0    0.292653
323.0    0.235602
370.0    0.244372
388.0    0.422611
418.0    0.259133
422.0    0.196328
426.0    0.156783
437.0    0.422736
Name: Residual_mov, dtype: float64>",2.3537012866717,0.0114506542657071,30,0,0,0,4,133,266,912,1774,7.00263821031249,0.860983869107916,26980,482.785714285714,"21 Autumn","W","A",1001,"ffa",19.3,18.9,1344
"1003mill4",4470.27855036,0.00224362838850619,1.48637695522384,2.83023405999588,2417.627991793,249.786943951,31,10626.590905452,127583,32,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.357587
3.0      0.058083
4.0     -0.596615
9.0      1.666864
11.0     0.191948
12.0    -0.396895
24.0     0.788388
28.0     0.438810
38.0     1.625343
39.0    -0.669947
46.0     0.667842
50.0     1.467693
51.0     0.157620
59.0     0.697551
65.0     0.713831
72.0     0.779187
78.0     0.577773
85.0     1.886713
86.0    -0.076880
87.0     0.906786
88.0     0.429109
89.0     0.488280
90.0     0.191734
91.0    -0.488514
96.0     1.735697
97.0     0.183809
98.0     0.563118
99.0    -0.245190
100.0   -0.190257
105.0    0.714073
109.0    0.522251
Name: Residual_mov, dtype: float64>",1.31591141252473,0.00323265724592578,6,120,8,2,20,432,860,3241,6393,16.7890832763403,1.84903490757678,127551,3986.96875,"21 Autumn","W","A",1001,"fma",19.3,18.9,1308
"1005mill1",123.73556292,0.0038567162423381,0.137987050446823,1.35669815914536,223.049755022999,141.063374286,7,12546.33200837,3834,122,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
3.0      0.344712
34.0     0.195379
121.0    0.692359
132.0    0.536097
146.0    0.444073
160.0    0.543316
221.0    0.601497
Name: Residual_mov, dtype: float64>",1.2567704590536,0.00111577725632651,0,1,0,0,1,1,2,11,2,1.54895663210416,0.554744222459431,3712,31.4262295081967,"21 Autumn","W","A",1001,"ffa",13.8,13.5,1358
"1005mill2",4807.66206468,7.5339186506715e-05,0.231244667218155,1.28362285649055,5730.867309869,3602.862064975,9,13899.501122891,69,136300,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.200936
35.0     0.476972
55.0     0.385587
76.0     0.487889
117.0    0.418781
141.0    0.446441
165.0    0.460368
190.0    0.463487
214.0    0.396130
Name: Residual_mov, dtype: float64>",1.58858635534508,0.00136093727070884,41,0,3,0,1,121,242,44,69,39.797689651868,0.838906539748501,136231,1975.36231884058,"21 Autumn","W","A",1001,"fms",13.8,13.5,1404
