"Fly","Index","Events","dom_dir","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",129,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",130,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",131,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",132,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",133,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",134,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",135,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",136,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",137,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",138,8,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",139,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",140,6,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",141,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",142,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",143,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",144,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",145,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",146,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",147,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",148,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",149,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",150,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",151,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",152,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",153,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",154,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",155,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",156,32,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",157,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",158,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",159,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",160,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",161,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",162,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",163,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",164,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",165,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",166,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",167,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",168,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",169,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",170,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",171,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",172,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",173,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",174,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",175,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",176,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",177,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",178,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",179,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",180,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",181,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",182,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",183,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",184,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",185,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",186,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",187,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",188,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",189,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",190,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",191,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",192,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",193,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",194,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",195,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",196,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",197,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",198,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",199,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",200,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",201,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",202,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",203,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",204,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",205,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",206,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",207,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",208,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",209,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",210,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",211,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",212,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",213,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",214,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",215,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",216,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",217,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",218,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",219,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",220,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",221,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",222,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",223,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",224,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",225,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",226,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",227,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",228,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",229,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",230,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",231,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",232,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",233,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",234,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",235,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",236,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",237,13,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",238,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
